Country,Age,Gender,Customer_Segment,Date,Year,Month,Total_Purchases,Total_Amount,Product_Category,Product_Brand,Product_Type,Payment_Method,Month_Name,Avg_Order_Value,Total_Amount_M,Age_Group
USA,68.0,Female,New,2023-09-13,2023,9,1.0,276.0257995,Home Decor,IKEA,Decorations,PayPal,Sep,276.0257995,0.0002760257995,50+
Germany,22.0,Female,Regular,2023-09-15,2023,9,8.0,453.7493687,Books,Random House,Literature,Cash,Sep,56.7186710875,0.0004537493687,18-25
UK,46.0,Male,Premium,2023-07-28,2023,7,1.0,311.3785037,Home Decor,Home Depot,Decorations,Credit Card,Jul,311.3785037,0.0003113785037,36-50
UK,26.0,Male,New,2023-07-18,2023,7,1.0,256.9922342,Electronics,Whirepool,Fridge,Credit Card,Jul,256.9922342,0.0002569922342,26-35
Germany,53.0,Male,New,2023-07-30,2023,7,8.0,3564.110864,Electronics,Apple,Tablet,Debit Card,Jul,445.513858,0.003564110864,50+
Germany,20.0,Female,Regular,2023-12-13,2023,12,8.0,3741.617044,Grocery,Coca-Cola,Water,Debit Card,Dec,467.7021305,0.0037416170440000003,18-25
Australia,39.0,Male,Premium,2023-03-22,2023,3,5.0,1357.400419,Books,Random House,Non-Fiction,Cash,Mar,271.4800838,0.001357400419,36-50
USA,26.0,Male,Regular,2023-09-30,2023,9,4.0,1746.894777,Clothing,Nike,T-shirt,Debit Card,Sep,436.72369425,0.001746894777,26-35
Germany,33.0,Male,Premium,2023-09-24,2023,9,7.0,3423.625492,Grocery,Nestle,Coffee,PayPal,Sep,489.089356,0.0034236254920000002,26-35
USA,20.0,Male,New,2023-04-25,2023,4,6.0,345.5220842,Books,Penguin Books,Children's,Credit Card,Apr,57.58701403333333,0.0003455220842,18-25
Germany,37.0,Male,Premium,2023-06-16,2023,6,8.0,3198.621475,Grocery,Coca-Cola,Water,Debit Card,Jun,399.827684375,0.003198621475,36-50
Canada,41.0,Male,New,2024-01-28,2024,1,7.0,2526.880223,Home Decor,IKEA,Decorations,Cash,Jan,360.982889,0.002526880223,36-50
Australia,46.0,Male,Regular,2023-10-22,2023,10,6.0,174.7011067,Clothing,Zara,Shirt,PayPal,Oct,29.116851116666666,0.0001747011067,36-50
Australia,26.0,Male,Premium,2024-01-16,2024,1,9.0,1921.87506,Clothing,Adidas,Shoes,Cash,Jan,213.54167333333334,0.0019218750600000002,26-35
USA,56.0,Female,Premium,2023-07-16,2023,7,10.0,3822.754723,Electronics,Apple,Laptop,Debit Card,Jul,382.2754723,0.003822754723,50+
Germany,26.0,Male,Regular,2024-02-25,2024,2,8.0,531.3118334,Electronics,Whirepool,Fridge,Credit Card,Feb,66.413979175,0.0005313118334,26-35
UK,48.0,Female,Regular,2023-07-21,2023,7,2.0,464.0012428,Books,HarperCollins,Fiction,Debit Card,Jul,232.0006214,0.0004640012428,36-50
Germany,26.0,Male,Premium,2023-06-14,2023,6,6.0,88.5285437,Grocery,Nestle,Chocolate,Debit Card,Jun,14.754757283333333,8.85285437e-05,26-35
UK,34.0,Female,Premium,2023-11-15,2023,11,5.0,1908.279081,Grocery,Pepsi,Water,PayPal,Nov,381.6558162,0.0019082790809999998,26-35
UK,26.0,Male,Premium,2023-06-18,2023,6,3.0,1081.00377,Home Decor,IKEA,Decorations,Cash,Jun,360.33459,0.00108100377,26-35
UK,19.0,Male,Regular,2023-10-26,2023,10,8.0,1139.037078,Grocery,Pepsi,Water,Credit Card,Oct,142.37963475,0.001139037078,18-25
USA,34.0,Male,New,2023-07-25,2023,7,8.0,3778.43064,Grocery,Pepsi,Water,PayPal,Jul,472.30383,0.00377843064,26-35
USA,37.0,Male,Regular,2023-06-30,2023,6,10.0,928.6725222,Grocery,Nestle,Chocolate,Credit Card,Jun,92.86725222,0.0009286725222,36-50
USA,26.0,Male,Regular,2023-03-14,2023,3,3.0,310.4663458,Clothing,Adidas,T-shirt,Debit Card,Mar,103.48878193333333,0.0003104663458,26-35
USA,30.0,Male,Regular,2023-04-16,2023,4,1.0,395.3104959,Clothing,Nike,T-shirt,PayPal,Apr,395.3104959,0.0003953104959,26-35
Germany,19.0,Female,New,2023-03-29,2023,3,3.0,847.7408054,Books,Penguin Books,Non-Fiction,Credit Card,Mar,282.58026846666667,0.0008477408054,18-25
Australia,41.0,Female,Regular,2024-01-19,2024,1,3.0,749.2174277,Clothing,Zara,Jeans,PayPal,Jan,249.7391425666667,0.0007492174277,36-50
Germany,22.0,Male,New,2024-02-24,2024,2,4.0,170.6995509,Clothing,Nike,Shoes,Credit Card,Feb,42.674887725,0.0001706995509,18-25
UK,26.0,Male,Regular,2024-02-22,2024,2,6.0,1795.855519,Electronics,Apple,Laptop,Cash,Feb,299.3092531666667,0.001795855519,26-35
Germany,63.0,Male,Regular,2023-07-14,2023,7,5.0,821.6515234,Grocery,Nestle,Coffee,Cash,Jul,164.33030467999998,0.0008216515234,50+
USA,26.0,Female,Regular,2023-03-14,2023,3,2.0,547.5907071,Electronics,Samsung,Television,Cash,Mar,273.79535355,0.0005475907071,26-35
USA,22.0,Male,Regular,2023-06-21,2023,6,10.0,449.145686,Home Decor,IKEA,Decorations,Credit Card,Jun,44.9145686,0.000449145686,18-25
USA,67.0,Female,New,2023-04-15,2023,4,2.0,203.3099351,Home Decor,Home Depot,Furniture,Cash,Apr,101.65496755,0.0002033099351,50+
Germany,62.0,Female,New,2023-06-23,2023,6,8.0,1750.874472,Grocery,Pepsi,Water,Cash,Jun,218.859309,0.001750874472,50+
USA,69.0,Female,Regular,2023-06-23,2023,6,6.0,2177.733682,Grocery,Nestle,Chocolate,Credit Card,Jun,362.9556136666667,0.002177733682,50+
Australia,59.0,Female,Regular,2023-03-16,2023,3,1.0,363.8231093,Grocery,Pepsi,Water,PayPal,Mar,363.8231093,0.0003638231093,50+
Canada,57.0,Female,New,2023-10-24,2023,10,5.0,917.383382,Home Decor,Bed Bath & Beyond,Kitchen,Debit Card,Oct,183.4766764,0.000917383382,50+
USA,30.0,Female,Regular,2023-04-19,2023,4,8.0,711.6941936,Grocery,Pepsi,Juice,Debit Card,Apr,88.9617742,0.0007116941936,26-35
UK,19.0,Male,Regular,2023-06-23,2023,6,8.0,1997.452102,Electronics,Samsung,Television,PayPal,Jun,249.68151275,0.001997452102,18-25
Germany,21.0,Male,New,2023-06-21,2023,6,7.0,2160.821961,Grocery,Coca-Cola,Water,Cash,Jun,308.6888515714286,0.002160821961,18-25
Australia,62.0,Male,Regular,2024-01-31,2024,1,10.0,282.823597,Electronics,Samsung,Tablet,Debit Card,Jan,28.2823597,0.000282823597,50+
UK,20.0,Male,New,2023-08-25,2023,8,10.0,4723.489387,Books,Penguin Books,Fiction,Cash,Aug,472.34893869999996,0.004723489387,18-25
Australia,40.0,Male,New,2024-02-15,2024,2,1.0,479.781555,Clothing,Adidas,T-shirt,Debit Card,Feb,479.781555,0.00047978155500000004,36-50
UK,46.0,Female,Premium,2023-05-19,2023,5,4.0,1410.557345,Clothing,Nike,T-shirt,Debit Card,May,352.63933625,0.001410557345,36-50
USA,34.0,Male,Regular,2023-03-20,2023,3,6.0,830.0659619,Grocery,Pepsi,Water,PayPal,Mar,138.34432698333333,0.0008300659619,26-35
Australia,30.0,Male,Premium,2023-09-20,2023,9,8.0,1199.973309,Clothing,Adidas,Jacket,Cash,Sep,149.996663625,0.001199973309,26-35
Canada,59.0,Male,New,2023-07-18,2023,7,1.0,465.8318368,Clothing,Adidas,Jacket,Cash,Jul,465.8318368,0.0004658318368,50+
UK,59.0,Female,New,2023-10-27,2023,10,2.0,807.8420496,Clothing,Zara,Jeans,Credit Card,Oct,403.9210248,0.0008078420496,50+
Canada,22.0,Male,Regular,2023-04-18,2023,4,2.0,640.3409633,Home Decor,Bed Bath & Beyond,Bedding,Cash,Apr,320.17048165,0.0006403409633,18-25
USA,20.0,Female,Regular,2023-03-13,2023,3,3.0,963.8294507,Home Decor,Home Depot,Decorations,Credit Card,Mar,321.2764835666667,0.0009638294507,18-25
USA,22.0,Male,Regular,2023-03-31,2023,3,3.0,1436.623305,Grocery,Coca-Cola,Water,Credit Card,Mar,478.874435,0.001436623305,18-25
USA,23.0,Female,Regular,2023-11-22,2023,11,1.0,308.589731,Books,HarperCollins,Non-Fiction,Cash,Nov,308.589731,0.00030858973099999996,18-25
USA,61.0,Male,New,2023-12-28,2023,12,2.0,380.6855797,Electronics,Samsung,Television,Credit Card,Dec,190.34278985,0.0003806855797,50+
Australia,32.0,Female,Regular,2024-01-27,2024,1,2.0,792.5275805,Grocery,Nestle,Chocolate,Cash,Jan,396.26379025,0.0007925275805,26-35
Australia,26.0,Male,Premium,2024-01-30,2024,1,6.0,97.04083249,Books,HarperCollins,Non-Fiction,PayPal,Jan,16.173472081666667,9.704083249e-05,26-35
UK,55.0,Female,New,2023-10-17,2023,10,9.0,2334.757422,Grocery,Nestle,Snacks,PayPal,Oct,259.4174913333334,0.0023347574220000003,50+
Germany,22.0,Female,Regular,2023-10-20,2023,10,7.0,1185.793604,Home Decor,Bed Bath & Beyond,Kitchen,Debit Card,Oct,169.39908628571428,0.001185793604,18-25
USA,30.0,Female,Premium,2023-09-30,2023,9,3.0,1437.921935,Electronics,Sony,Television,Debit Card,Sep,479.3073116666667,0.0014379219350000002,26-35
UK,64.0,Male,New,2023-06-22,2023,6,7.0,1504.520335,Electronics,BlueStar,BlueStar AC,Credit Card,Jun,214.93147642857141,0.001504520335,50+
Germany,39.0,Female,New,2023-05-24,2023,5,9.0,314.4149256,Clothing,Zara,Dress,Debit Card,May,34.934991733333334,0.0003144149256,36-50
USA,22.0,Female,Regular,2024-02-22,2024,2,1.0,378.7520541,Clothing,Nike,T-shirt,Credit Card,Feb,378.7520541,0.00037875205410000003,18-25
USA,46.0,Female,Regular,2023-03-31,2023,3,6.0,554.8040317,Home Decor,Bed Bath & Beyond,Kitchen,Cash,Mar,92.46733861666667,0.0005548040317,36-50
Germany,41.0,Male,Premium,2023-07-22,2023,7,6.0,1423.833441,Electronics,Sony,Headphones,Credit Card,Jul,237.3055735,0.001423833441,36-50
Australia,33.0,Male,Premium,2023-08-20,2023,8,1.0,95.40912547,Electronics,Samsung,Television,Credit Card,Aug,95.40912547,9.540912547000001e-05,26-35
Germany,43.0,Male,Regular,2023-11-28,2023,11,3.0,714.2288837,Home Decor,IKEA,Decorations,PayPal,Nov,238.07629456666666,0.0007142288837,36-50
USA,23.0,Male,Regular,2023-06-29,2023,6,5.0,1344.549601,Grocery,Pepsi,Soft Drink,Cash,Jun,268.9099202,0.001344549601,18-25
USA,45.0,Male,Regular,2023-04-22,2023,4,9.0,205.6299281,Home Decor,IKEA,Lighting,Credit Card,Apr,22.84776978888889,0.0002056299281,36-50
USA,19.0,Female,New,2023-09-13,2023,9,4.0,1955.640496,Clothing,Adidas,Shoes,Cash,Sep,488.910124,0.001955640496,18-25
Australia,20.0,Male,Premium,2023-09-29,2023,9,3.0,966.3999254,Grocery,Coca-Cola,Soft Drink,Credit Card,Sep,322.1333084666667,0.0009663999254000001,18-25
Australia,46.0,Male,Regular,2023-07-20,2023,7,2.0,730.933401,Home Decor,Home Depot,Furniture,Credit Card,Jul,365.4667005,0.000730933401,36-50
Canada,46.0,Male,Regular,2023-03-15,2023,3,9.0,4261.97114,Books,Penguin Books,Non-Fiction,Debit Card,Mar,473.55234888888884,0.004261971139999999,36-50
USA,23.0,Female,Regular,2023-03-17,2023,3,9.0,2621.525856,Clothing,Adidas,T-shirt,Cash,Mar,291.2806506666667,0.002621525856,18-25
USA,34.0,Female,Premium,2024-01-27,2024,1,1.0,355.3530184,Grocery,Pepsi,Water,Debit Card,Jan,355.3530184,0.0003553530184,26-35
Canada,34.0,Female,Regular,2023-07-20,2023,7,6.0,626.8397373,Books,Penguin Books,Non-Fiction,Cash,Jul,104.47328955,0.0006268397373,26-35
USA,46.0,Female,Regular,2023-11-23,2023,11,8.0,1613.70263,Home Decor,IKEA,Decorations,Credit Card,Nov,201.71282875,0.00161370263,36-50
Germany,50.0,Male,Premium,2023-11-28,2023,11,7.0,2968.401488,Books,Penguin Books,Non-Fiction,Cash,Nov,424.05735542857144,0.002968401488,36-50
USA,27.0,Male,New,2023-04-27,2023,4,2.0,549.9165906,Home Decor,Home Depot,Decorations,Cash,Apr,274.9582953,0.0005499165905999999,26-35
Canada,21.0,Female,New,2023-03-25,2023,3,5.0,1787.037558,Clothing,Adidas,T-shirt,PayPal,Mar,357.4075116,0.001787037558,18-25
UK,21.0,Male,Regular,2023-09-24,2023,9,9.0,484.1306022,Grocery,Nestle,Snacks,Cash,Sep,53.792289133333334,0.0004841306022,18-25
Germany,26.0,Male,New,2023-12-20,2023,12,5.0,1698.302224,Home Decor,IKEA,Decorations,Credit Card,Dec,339.6604448,0.001698302224,26-35
Canada,20.0,Male,New,2023-04-20,2023,4,1.0,468.5505059,Clothing,Zara,Dress,Debit Card,Apr,468.5505059,0.00046855050590000004,18-25
USA,29.0,Male,Premium,2023-05-13,2023,5,9.0,320.4251043,Electronics,Mitsubhisi,Mitsubishi 1.5 Ton 3 Star Split AC,Credit Card,May,35.60278936666666,0.0003204251043,26-35
USA,34.0,Female,Premium,2023-06-20,2023,6,7.0,1201.000232,Grocery,Pepsi,Water,PayPal,Jun,171.57146171428573,0.0012010002320000002,26-35
USA,34.0,Female,Premium,2023-08-17,2023,8,3.0,1479.678268,Electronics,Apple,Laptop,Debit Card,Aug,493.2260893333333,0.001479678268,26-35
Canada,22.0,Male,Regular,2023-10-18,2023,10,7.0,2036.849365,Grocery,Coca-Cola,Juice,Cash,Oct,290.9784807142857,0.002036849365,18-25
USA,34.0,Female,New,2024-01-13,2024,1,9.0,2143.412986,Grocery,Pepsi,Water,Credit Card,Jan,238.1569984444444,0.002143412986,26-35
UK,44.0,Female,New,2023-07-22,2023,7,3.0,913.3122596,Home Decor,IKEA,Decorations,Cash,Jul,304.43741986666663,0.0009133122595999999,36-50
USA,23.0,Male,Regular,2023-11-22,2023,11,6.0,1303.412377,Clothing,Zara,Jeans,Cash,Nov,217.23539616666667,0.0013034123770000001,18-25
UK,39.0,Male,Regular,2023-04-23,2023,4,9.0,2211.27871,Electronics,Samsung,Smartphone,Debit Card,Apr,245.69763444444445,0.00221127871,36-50
Australia,46.0,Female,Regular,2024-02-15,2024,2,4.0,1564.658894,Electronics,Samsung,Smartphone,Debit Card,Feb,391.1647235,0.001564658894,36-50
Germany,26.0,Male,Regular,2023-05-20,2023,5,1.0,376.7163282,Electronics,Whirepool,Fridge,Debit Card,May,376.7163282,0.00037671632820000003,26-35
USA,26.0,Female,Regular,2024-01-14,2024,1,2.0,592.4612279,Clothing,Zara,Jeans,Cash,Jan,296.23061395,0.0005924612279,26-35
USA,22.0,Male,Premium,2023-08-29,2023,8,1.0,75.54425116,Electronics,Sony,Headphones,Credit Card,Aug,75.54425116,7.554425116e-05,18-25
USA,34.0,Female,Regular,2023-05-18,2023,5,2.0,539.5688438,Grocery,Pepsi,Water,Cash,May,269.7844219,0.0005395688438,26-35
USA,34.0,Female,New,2023-12-22,2023,12,4.0,961.6881364,Home Decor,IKEA,Decorations,Cash,Dec,240.4220341,0.0009616881364,26-35
Canada,46.0,Female,New,2024-02-29,2024,2,6.0,1784.562409,Home Decor,Bed Bath & Beyond,Bathroom,Credit Card,Feb,297.42706816666663,0.0017845624089999998,36-50
Canada,44.0,Female,Regular,2024-02-23,2024,2,9.0,2933.82729,Clothing,Zara,Shirt,Debit Card,Feb,325.98081,0.00293382729,36-50
USA,26.0,Male,Regular,2023-07-30,2023,7,2.0,424.8639019,Clothing,Nike,T-shirt,Debit Card,Jul,212.43195095,0.0004248639019,26-35
Germany,20.0,Female,Regular,2023-08-27,2023,8,3.0,856.5695763,Books,Random House,Literature,Credit Card,Aug,285.5231921,0.0008565695763,18-25
USA,46.0,Female,Regular,2024-02-21,2024,2,7.0,490.643793,Home Decor,IKEA,Decorations,Credit Card,Feb,70.09197042857143,0.000490643793,36-50
UK,70.0,Male,New,2023-03-30,2023,3,3.0,585.0474668,Books,Penguin Books,Children's,Credit Card,Mar,195.01582226666667,0.0005850474668,50+
Germany,46.0,Male,Regular,2023-10-27,2023,10,1.0,412.0509051,Electronics,Sony,Smartphone,Credit Card,Oct,412.0509051,0.0004120509051,36-50
Canada,67.0,Male,New,2023-11-18,2023,11,8.0,1953.622329,Home Decor,Bed Bath & Beyond,Bathroom,Credit Card,Nov,244.202791125,0.001953622329,50+
Canada,20.0,Male,New,2023-06-30,2023,6,1.0,325.4308868,Grocery,Coca-Cola,Juice,Credit Card,Jun,325.4308868,0.0003254308868,18-25
Canada,20.0,Male,New,2023-06-29,2023,6,1.0,189.6206446,Electronics,Apple,Laptop,Debit Card,Jun,189.6206446,0.0001896206446,18-25
USA,20.0,Male,New,2023-12-31,2023,12,1.0,118.8276677,Electronics,Apple,Smartphone,Cash,Dec,118.8276677,0.0001188276677,18-25
Canada,55.0,Female,Premium,2023-08-30,2023,8,8.0,768.1892182,Home Decor,IKEA,Furniture,Debit Card,Aug,96.023652275,0.0007681892182,50+
USA,37.0,Female,Regular,2023-05-27,2023,5,8.0,1083.784911,Clothing,Nike,Shoes,PayPal,May,135.473113875,0.001083784911,36-50
Australia,53.0,Male,Premium,2023-04-19,2023,4,3.0,610.080932,Books,Penguin Books,Fiction,Credit Card,Apr,203.36031066666666,0.000610080932,50+
Canada,39.0,Male,Premium,2023-06-29,2023,6,3.0,1348.83014,Clothing,Nike,T-shirt,Cash,Jun,449.6100466666667,0.00134883014,36-50
UK,26.0,Male,Premium,2023-05-20,2023,5,8.0,2975.126726,Clothing,Adidas,T-shirt,PayPal,May,371.89084075,0.002975126726,26-35
USA,20.0,Male,New,2023-08-21,2023,8,10.0,4605.370446,Home Decor,IKEA,Furniture,Credit Card,Aug,460.5370446,0.004605370446,18-25
UK,26.0,Male,Premium,2024-02-25,2024,2,3.0,1203.104069,Home Decor,IKEA,Lighting,Credit Card,Feb,401.0346896666667,0.001203104069,26-35
USA,20.0,Female,Premium,2023-07-30,2023,7,6.0,1747.905897,Books,HarperCollins,Thriller,Cash,Jul,291.3176495,0.001747905897,18-25
